title,rating,num_votes,year
The Girl in the Pullman,6.8,28,1927
Liars' Dice,8.2,5,1998
The Case He Couldn't Crack,1.8,120,1981
A Doctor's Diary,7.0,6,1937
Fourhand,8.5,12,2008
"Too Young, Too Immoral",8.0,7,1962
The Darkness Within,7.2,45,2009
The Resolution,7.1,13,2008
Rebound,6.2,108,1931
"The Girl, the Body, and the Pill",5.4,50,1967
Clown Hunt,5.6,36,2008
The Past of Mary Holmes,6.6,14,1933
Black Belt Angels,4.0,72,1994
Documenting the Grey Man,2.4,333,2011
Brother's Shadow,6.1,104,2006
Room 13,6.3,12,2011
David Harum,6.6,57,1934
Exclusive,7.0,54,1937
Mama/M.A.M.A.,3.9,17,2003
Ghostlight,4.9,88,2013
Prosper,8.2,524,2014
Rent Control,7.5,34,1981
Camp Utopia,3.3,113,2002
Favorite Refrain,6.0,10,2014
Too Much Harmony,6.2,49,1933
Gigolette,5.0,8,1935
The Wrestling Road Diaries,7.4,110,2009
ROVER: Or Beyond Human - The Venusian Future and the Return of the Next Level,6.5,20,2013
A Class Apart,8.9,17,2009
Mr. Art Critic,5.1,44,2007
Unforeseen,6.4,14,2002
The Young Captives,5.7,44,1959
Calling Bobcat,5.0,101,2000
Divine Unrest,8.3,23,2008
The Greatest Thing in Life,7.1,54,1918
Hot Ice,5.0,11,2000
Yukon Gold,5.2,13,1952
Life Flight: The Movie,5.8,16,1987
Steve Jobs: Visionary Genius,5.1,156,2012
Haima,5.7,12,2016
Mystery Plane,5.3,41,1939
Analog Days,6.3,102,2006
The Factory,7.7,23,2014
The Shepherd of the Hills,6.5,11,1964
Lawless Land,5.9,39,1936
Black Veil Brides: Live in Los Angeles,8.9,38,2015
Escape to Paradise,4.0,51,1960
Gas House Kids Go West,5.8,26,1947
Frankenstein's Monster,3.5,6,2014
Naked in the Cold Sun,7.5,23,1997
Figure in the Forest,6.2,255,2002
"Kala krymmena mystika, Athanasia",6.4,158,2008
Point of Death,7.5,6,2010
Song of the Eagle,6.8,12,1933
Don't Bet on Women,6.5,88,1931
It's Always Sunny in Philadelphia: Cast & Creators Live at the Paley Center,7.4,5,2010
Rage: Midsummer's Eve,5.4,252,2015
Within These Walls,6.7,13,1945
West New York,5.9,69,1996
Hay Foot,6.1,90,1942
A Day in Black and White,6.7,99,2001
Varla Jean and the Mushroomheads,7.0,14,2011
Moments the Go,6.8,8,2014
In a Cage,8.9,10,2013
Disgraced,6.8,46,1933
Sometimes in Life,6.0,72,2008
They Had It Coming,5.1,9,2015
Blazing the Western Trail,6.5,122,1945
The Setting Son,7.1,22,1997
Thunder Broke the Heavens,7.1,13,2015
Fit for a King,6.1,81,1937
The Blues,7.1,15,2003
Michael & Mickey,5.9,7,1991
Cupid's Prey,4.5,64,2003
They Ran for Their Lives,4.9,39,1968
The Last Ride,5.6,79,1944
No Trespassing,3.4,13,2017
Blind Passion,5.7,19,2004
Barricade,5.9,89,1939
"A Wave, a WAC and a Marine",7.6,52,1944
The Royal Bed,6.0,118,1931
Lord Jim,6.1,23,1925
Project 313,4.4,106,2006
Martin Eden,5.8,6,1914
Fortress of the Dead,6.1,21,1965
Chronological Order,5.2,58,2010
Faith Filled Christmas,6.8,13,2017
Unknown Soldier,7.0,88,2004
The Taker's Crown,4.0,29,2017
West Point Widow,8.4,15,1941
Down for the Barrio,3.5,38,1997
The Witching Hour,6.2,70,1934
Jellyscream!,7.2,13,2008
Here's Flash Casey,5.7,43,1938
The Spirit of West Point,6.6,30,1947
Fall to Rise,8.1,25,2014
It Came from Somewhere Else,5.6,109,1988
Spin Cycle,6.8,35,2000
A Weekend with Strangers,5.0,6,1971
Sorority Sister Slaughter,2.0,150,2007
The Storm Rider,6.0,59,1957
Burndown,3.6,77,1990
I.F.O. (Identified Flying Object),3.7,71,1987
Controlled Chaos,7.4,31,2003
Abroad with Two Yanks,6.3,52,1944
3 Weeks in Yerevan,7.1,56,2016
Apart from Hugh,5.3,77,1994
Near Death,2.2,229,2004
The Diamond from the Sky,5.1,9,1915
Treasure n tha Hood,2.9,102,2005
Fugitive Road,6.8,17,1934
The Man Who Cried Wolf,6.3,38,1937
Wedgerino,6.1,36,2015
"Lovers, Liars and Lunatics",7.1,139,2006
Gentle Savage,6.4,38,1973
Til Death Do Us Part,6.2,11,1995
The Art of Kissing,5.6,27,2008
Topeka,7.4,24,1953
Sugar Baby,8.0,29,2011
Lunker Lake,8.5,6,1997
Anacardium,7.2,132,2001
Stalkers,6.5,11,2013
Welcome Back to the Barrio,6.5,24,2006
FightFuckPray,4.6,16,2008
Not Another Tolkien Movie,6.5,44,2004
1 in 3,8.6,45,2010
Romance of the Redwoods,6.4,12,1939
Queen of Media,6.5,17,2011
The Rise of the Robots,4.0,38,2015
The Big Brain,5.2,15,1933
Honeymoon,5.9,33,1997
Dr. Jekyll's Dungeon of Death,2.3,158,1979
"Now, Forager",6.4,189,2012
Let's Try Again,5.1,98,1934
It Was Raining That Night,8.3,37,2005
The School in the Woods,3.7,216,2010
The Broken Coin,6.1,15,1915
Up in Mabel's Room,6.5,127,1944
The Black Book,6.8,8,1929
Split Second,8.1,11,2012
Hyacinth,4.4,16,1998
The Humming Bird,7.6,11,1924
Lost City of the Jungle,6.4,60,1946
Cyber Seeker,3.7,29,1993
Cents,6.4,14,2016
Bam Bam and Celeste,5.5,247,2005
Backstabber,5.7,54,2011
Unaired,4.3,23,2010
Temps,6.1,64,1999
The Finest Hour,6.2,8,2009
The Scrappin' Kid,3.9,9,1926
Persian Series,7.3,9,2001
Close Harmony,7.2,15,1929
Granny Get Your Gun,6.3,143,1940
Missing Witnesses,5.6,68,1937
Yolanda,8.8,63,1924
The Sickness of Lucius Frost,5.3,54,2014
Colour Blind,6.4,15,2002
Care of Footpath,7.4,32,2009
PC and the Web,5.3,12,2001
Philip Roth: Unmasked,7.5,24,2013
No Marriage Ties,6.5,76,1933
Under Age,3.3,15,1964
Alma's Rainbow,6.6,38,1994
Night of the Dolls,7.2,38,2014
Hollywood and Vine,6.1,99,1945
The Amateur Monster Movie,6.6,83,2011
Frogmen Operation Stormbringer,3.4,214,2002
The Light of Western Stars,7.2,125,1930
Decision at Midnight,7.4,7,1963
The Sky Hawk,6.9,14,1929
Payback,4.6,45,1990
Ransom Money,4.2,54,1970
Frontier Gun,6.6,11,1958
Double Parked,6.5,138,2000
The Idol Dancer,5.8,66,1920
African Treasure,5.5,128,1952
When the Girls Take Over,3.5,44,1962
Operation Repo: Lou's Revenge,5.9,9,2016
Follies Girl,5.4,21,1943
Meaning of Violence,7.6,7,2018
Keeping Company,6.0,123,1940
Bird in a Cage,9.2,6,1987
'M' Word,4.3,24,1996
Rustlers,6.3,68,1949
TeenAlien,3.3,75,1978
Black Wine,4.6,179,2005
Destination Unknown,6.8,26,1933
Comrades in Arms,4.2,50,1991
The Cutting Truth,7.5,8,2017
Finders Keepers: The Root of All Evil,3.5,111,2013
Alaska Highway,4.9,55,1943
Karate Film Café,7.4,13,2008
The Dream Chasers,5.0,44,1984
The Iron Girl,3.8,54,1994
The Strawberry Roan,6.8,101,1948
The Naked Proof,7.5,16,2003
Carnival Boat,5.6,231,1932
The Hand That Rocks the Cradle,7.1,11,1917
File X for Sex: The Story of the Perverted,5.6,16,1967
Cadillac,6.9,15,1997
Corpus Kristi,8.7,6,2008
Cornhole: The Movie,7.9,28,2010
Paddy the Next Best Thing,6.3,21,1933
Running Target,5.8,106,1956
The Delos Adventure,3.8,43,1987
On the Old Spanish Trail,6.3,117,1947
In Harm's Way,5.6,50,2011
The Legend of Alfred Packer,5.0,57,1980
Saddlemates,7.2,40,1941
Phantom Brother,3.0,65,1988
Unconditional Love,6.1,43,1994
Spy Train,5.1,60,1943
St. Osmund's,3.6,57,2013
The Untamed Breed,5.6,54,1948
Whistling Bullets,5.7,27,1937
The Girl with No Number,5.0,18,2011
Riding on Air,5.3,87,1937
Strange Attractor,6.5,15,2003
The Game,4.8,33,1988
They Meet Again,4.9,55,1941
Escape from Crime,5.8,157,1942
The Stand-In,5.9,105,1999
Free for All,6.4,44,1949
Last Winter,5.0,53,1984
Home Invasion,6.9,15,2012
Privilege,7.2,50,1990
Stupa-Man,8.1,15,2008
Small Town Boy,5.4,21,1937
The Funniest Movie Ever... Just Kidding,6.1,25,2011
Tom and Jerry: Paws for a Holiday,7.3,15,2003
San Saba,6.0,48,2008
Dogs Lie,7.7,39,2011
Keep 'Em Rolling,6.4,76,1934
'Til Morning,7.0,10,2013
A Buddy Story,5.7,129,2010
A Fig Leaf for Eve,5.9,44,1944
Pacific Blackout,6.9,29,1941
Lover's Game,5.5,10,2015
Murder in the Big House,6.4,93,1942
"Fireman, Save My Child",5.9,192,1932
Trouble in Morocco,7.3,14,1937
Little Red,5.2,36,2000
Neptune Rising,5.7,11,2007
The Given,4.6,5,2015
Old Louisiana,6.8,32,1937
Dead Man's Gold,8.1,31,1948
Ezekiel's Landing,6.4,16,2015
Evangeline,7.0,120,1929
Petticoat Larceny,6.3,89,1943
Battle Oasis,6.1,21,2016
Drawing Blood,4.8,77,2005
My Kingdom for a Cook,5.8,101,1943
Three Russian Girls,6.2,14,1943
Black & White & Red All Over,6.9,32,1997
Sunset Pass,5.8,73,1946
Trail of the Vigilantes,6.5,62,1940
La Femme Vampir,5.6,9,2009
Return to Yucca Flats: Desert Man-Beast,5.8,20,2010
The Sleeper,7.0,86,2005
True Law,4.1,37,2015
Blues,6.5,29,2008
Lone Justice 2,7.2,29,1995
Curtain at Eight,6.5,133,1933
The Year of the Yahoo!,5.7,134,1971
You Belong to Me,6.8,33,1934
Dark Reality,2.8,117,2006
The Maize: The Movie,2.1,2583,2004
Iron Angel,3.5,78,1964
Six Sex Scenes and a Murder,4.3,73,2008
Joe Vampire,4.6,25,2012
Backwoods 2: The Revenge of Caleb,5.6,25,2007
Oklahoma Annie,5.6,94,1952
Windows of Heaven,7.4,39,1963
Make Believe Ballroom,6.8,23,1949
County Fair,4.9,9,1937
Chain of Evidence,6.4,44,1957
Prison Warden,6.0,11,1949
The Day I Met Her,8.1,7,2017
Going Bongo,8.6,36,2015
Death Driver,3.4,19,1977
Some Are Born,7.4,37,2015
Champion Road: Arena,4.3,32,2010
Strange Alibi,6.2,75,1941
Godzilla 2001,5.9,92,2001
The 13 Most Beautiful Women,6.7,25,1964
The Apache Kid's Escape,4.4,53,1930
Whatever It Takes,6.5,13,1986
Thriller Theater!,7.9,12,2011
Three Chris's,3.6,23,2010
Bachelor Bait,6.2,196,1934
The Black Box,5.1,15,2010
Justin Bieber: This Is My World,3.4,28,2011
Harem Girl,6.5,61,1952
The Warp,2.9,43,2013
Curley,5.6,55,1947
Spending Thanksgiving with the Moretti's,5.5,6,2016
The Dead One,3.3,158,1961
Time of Fear,4.8,193,2002
In the Company of Strangers,8.2,6,2014
Yellow-Headed Summer,8.2,6,1974
Best Buns on the Beach,7.8,9,1987
The Glass Alibi,6.6,52,1946
A Night of Adventure,6.2,103,1944
LUV Don't Live Here,6.2,9,2015
Treasure of Monte Cristo,6.2,81,1949
Born Reckless,6.2,106,1937
Fashion Model,5.1,111,1945
Surrender,6.0,30,1927
Timber Queen,6.1,55,1944
George's Intervention,5.3,171,2009
Nobody's Heroes,6.1,8,1983
Gone Hollywood,4.2,30,2011
Clay,6.8,69,2007
Three Steps North,6.5,73,1951
Kung Fu Rascals,6.9,64,1992
Opposite Sex and the City,5.1,23,2002
Border Feud,6.0,83,1947
Moon Over Montana,5.9,8,1946
The Lone Wolf Meets a Lady,6.5,270,1940
The Million Dollar Mystery,5.6,19,1914
Kill Me Tomorrow,3.7,67,2000
Henry Aldrich Swings It,7.7,87,1943
Above Freezing,6.3,77,1998
The Polterguys,5.5,12,2012
God Bless the Child,6.4,272,2015
Treasure of the Black Jaguar,5.9,41,2010
My Weakness,6.3,22,1933
Enduring Destiny,3.0,13,2014
Titanic: 100 Years On,7.4,28,2012
The Adventures of Don Coyote,6.1,15,1947
That Night with You,6.3,29,1945
15 North,7.5,15,2013
Northern Patrol,6.5,15,1953
The Blimp Trap,8.7,6,2016
Boiler Room,3.4,60,1992
Acedia,4.9,61,2012
Freak,3.8,194,1999
Machismo: 40 Graves for 40 Guns,5.5,46,1971
Harold Teen,6.6,62,1934
The Golden Stallion,6.7,149,1949
Fighting Spirit,4.4,59,1992
Confidential,4.9,81,1935
Time Device,2.0,6,2016
All the Way Down,5.9,22,1968
Endor,7.9,59,2016
Sunset Pass,6.4,12,1933
Love in High Gear,5.6,46,1932
Mortuary Massacre,5.5,17,2016
Broken Fences,4.6,144,2008
Dying on the Edge,4.5,50,2001
Hard Crime,4.9,8,2014
Federal Agent at Large,5.9,25,1950
Torment a love story,5.6,5,2015
"Movie Star, American Style or; LSD, I Hate You",7.3,14,1966
Niner,5.6,28,2014
Snuff: Diary of a Serial Killer,3.6,32,2016
Meet the Boy Friend,5.9,69,1937
None of the Above,8.0,7,2015
Medium Straight,5.9,8,1988
The Curtain Falls,6.4,20,1934
Age Isn't Everything,5.5,55,1991
Lethal Commission,7.8,24,2012
Door to Door,5.9,41,1984
Red Apples Falling,7.8,9,2009
A Larger Life,8.1,18,2015
"Deathbone, Third Blood Part VII: The Blood of Deathbone",5.8,17,2011
Full Moon Rising,6.3,23,1996
Prank Week,3.0,22,2017
Croaker,7.1,61,2013
The Adventures of Huckleberry Finn,7.0,6,1997
Leave It to Henry,4.9,15,1949
Fall Into Me,4.6,84,2006
Alias the Champ,6.3,27,1949
Heavy Times,4.9,217,2010
Kismet,6.1,22,1930
The Sun and the Moon,7.1,10,1990
JC in tha Hood,3.5,56,2008
Gutter King,4.2,240,2010
The Sno Cone Stand Inc,6.1,34,2008
"Kill Her, Not Me",6.2,5,2013
"Alien, Baby!",8.8,5,2017
Ghosts,5.4,15,1915
"Home, James",7.4,51,2014
SoulMate: True Evil Never Dies,5.6,52,2012
1Night 2Last 3Ever,8.7,7,2013
The Sport Parade,5.9,166,1932
The Man Who Found Himself,6.1,202,1937
The Barrio Murders,7.1,27,2001
Wolfe with an E,5.0,19,2011
Stampede,6.5,40,1936
The Fighting Marines,6.4,56,1935
Love Comes Along,7.2,26,1930
Redeeming Love,4.8,9,1916
Red Scare,7.5,18,2012
Say It with Songs,5.5,69,1929
Monte Carlo Nights,5.3,86,1934
Train to Alcatraz,6.3,29,1948
Sammy,8.1,20,1977
18 Shades of Dust,4.8,144,1999
Prima Donnas,4.5,32,1995
Are These Our Children,6.1,154,1931
The Moving Finger,4.7,72,1963
Walk on Water,8.9,8,2017
Public Enemies,7.4,19,1941
Error in the Ménage,6.0,7,2014
Whitefire,7.9,21,2013
Raising Dragons,6.6,8,2014
Problem of Evil,7.1,126,2013
Loons,5.8,8,2016
Jeremy Brooks,7.3,13,2015
Deep River: The Island,5.7,38,2009
The Judge,6.1,80,1949
Bury,3.6,59,2014
Mission in Morocco,6.2,32,1959
Revolt in the Big House,6.4,71,1958
The Lost One,6.6,5,2015
Checking the Gate,6.3,43,2003
Tuck Me In,4.6,11,1970
Chain Letters,6.6,67,1985
Pursuit,6.0,99,1935
Zis Boom Bah,4.8,80,1941
One Last Sunset,5.9,50,2010
Punk Rock,3.8,8,1979
Call of the Forest,5.2,46,1949
Winter Wonderland,6.8,58,1946
His Neighbor's Wife,5.7,10,1913
Left Hand of Gemini,5.2,8,1972
The Cat,5.7,29,1966
Disbarred,5.6,14,1939
Dead Ring,5.4,70,2016
Dirty Money,5.3,63,1995
G.I. Jane,6.8,29,1951
Red 71,7.6,17,2008
Foreign Agent,4.6,73,1942
Frost,6.0,41,2004
Life in the Raw,6.0,10,1933
Ouanga,4.7,40,1936
Resisting Enemy Interrogation,6.9,193,1944
Rodeo King and the Senorita,7.0,23,1951
36K,7.6,50,2000
Youth of Christ,7.2,19,2011
Swell Guy,7.3,29,1946
Subway Cafe,7.1,15,2004
Bowser Makes a Movie,4.3,134,2005
Dance of Desire,2.4,14,1996
All the Ships at Sea,7.6,43,2004
Death Row Diner,4.4,89,1988
The Galloping Ghost,5.8,124,1931
Madam Satan,4.1,16,1970
Divorce: A Contemporary Western,5.4,38,1998
Fall Semester,9.2,13,2017
To Beat the Band,6.2,44,1935
Lost in Plainview,4.2,175,2005
John Doe; Diary of a Serial Killer,7.0,5,2015
Accidental Icon: The Real Gidget Story,7.6,16,2010
The Third Walker,5.5,20,1978
Clock Out,8.2,11,2014
Michael Myers: Absolute Evil,6.5,28,2016
M.O.N.,7.2,32,2006
Outlaw's Highway,3.4,7,1934
Before the Border,6.3,28,2015
LAID: Life as It's Dealt,6.8,21,2013
Back Slash,5.1,68,2005
Night Club Girl,6.4,5,1945
Chippendales,5.3,18,2001
While the Cat's Away...,5.7,7,1972
Final Draft,7.5,60,2003
Bridge of Names,5.2,5,2012
Undercover X,7.3,33,2001
I Was a Teenage Superhero Sidekick,8.3,33,2013
Veteranos,5.5,33,1998
Close Up,6.2,59,1996
Pig Death Machine,6.0,20,2013
The Vanishing Shadow,6.4,52,1934
Millennium Crisis,2.5,236,2007
Week-End Marriage,5.8,207,1932
"Hello, My Name Is Dick Licker",5.0,7,2011
The Magic Face,7.1,61,1951
Where We're Meant to Be,8.7,37,2016
Hold 'Em Yale,6.4,9,1935
Powerplegic,7.1,65,2013
Surrogate,6.6,12,2009
Through the Fire,3.4,65,1990
Christmas in Hollywood,4.5,23,2014
The Ghost Talks,5.6,8,1929
The Playback Singer,7.5,40,2013
Into His Arms,5.3,39,1999
Trona,7.1,90,2004
Oliver Twisted,6.6,10,2013
Hurricane Hutch,6.9,9,1921
Yodelin' Kid from Pine Ridge,6.0,85,1937
Raiders of the West,5.7,7,1942
The Z Effect,3.6,24,2016
African Manhunt,5.6,9,1955
"Hello, Everybody!",6.4,51,1933
Escape from San Quentin,6.1,46,1957
The Lost Within,7.8,10,2017
The Anchorite,6.0,8,2016
Reporting Live,8.6,10,2013
The Iron Claw,6.5,31,1941
A Woman of Experience,6.2,109,1931
Phantom of the Ritz,4.2,53,1988
Guilty as Hell,6.9,42,1932
Act of Reprisal,7.4,21,1964
Messenger,7.1,15,1994
Chaos A.D.,6.1,29,2016
Grand Prix: The Winning Tale,4.9,31,2011
The Santa Fe Trail,5.5,10,1930
Fat Planet,2.9,19,2013
The Trolls,6.2,16,2016
The Gift: Life Unwrapped,6.4,24,2007
Cabin of Horror,4.4,14,2015
Sand Trap,5.8,138,1998
Domestic Import,4.5,112,2006
Blood Arrow,6.8,15,1958
Xscape,6.3,80,2000
The Boys of Ghost Town,5.3,67,2009
R.E.D.D.,6.0,12,2015
Bio-Tech Warrior,6.2,31,1996
Lime Kiln Club Field Day,6.1,21,1913
Blue Lips,7.0,46,2014
The Way of All Men,6.8,5,1930
Ambush,5.1,15,1939
Family Secrets,5.8,40,2001
Dollywood's a Christmas Carol,8.5,13,2013
Shallow Creek Cult,4.1,47,2013
The Streets Run Red,7.8,5,2017
The Gathering,6.4,72,1998
Ruggles of Red Gap,6.6,13,1923
The Bronze Buckaroo,5.1,128,1939
All the Young Wives,5.4,25,1973
Steel of Fire Warriors 2010 A.D.,5.0,21,2008
Treasure Blind,6.0,47,2008
100 Lives,8.1,15,2009
Outta Sync,7.8,18,2006
The Mikado Project,4.6,18,2010
The Sandman,7.2,12,2001
Safari,6.5,51,1940
Cryptic,6.9,68,2009
The Big Tip Off,6.6,25,1955
I Am the Edge,6.8,11,2014
17000 Block,4.9,43,2005
High Yellow,5.0,29,1965
Tranquility - An Independent Espionage/Crime Film,7.7,14,2018
Goodbye Paradise,7.3,39,1991
Trapped in the House,3.5,14,1970
Class,6.6,18,1998
Riverboat Mama,5.2,12,1969
The Cook,4.2,79,2013
Secrets of Beauty,5.9,14,1951
Twelve Hours to Kill,5.6,70,1960
Son of Oklahoma,5.6,17,1932
Twisted Path,3.4,147,2010
Passkey to Danger,6.2,36,1946
Together & Alone,8.0,25,1998
Girl U Want,6.4,5,2009
Lucinda's Spell,4.7,108,1998
Isle of Destiny,4.7,50,1940
Make Your Own Bed,5.5,181,1944
The Traitor,5.3,21,1936
Bury Me Not on the Lone Prairie,5.7,33,1941
Memphis Rising: Elvis Returns,6.7,47,2011
Texas Wildcats,5.3,29,1939
Wild Ride,9.0,6,2010
Dreamland,5.8,18,2009
Baby Fat,8.5,24,2004
Great Stagecoach Robbery,7.2,26,1945
Force of Circumstance,6.5,17,1990
Hammerhead Jones,5.0,21,1987
Blackjack,6.2,19,1978
The Arizonian,6.8,155,1935
The Girl in 419,6.9,24,1933
Fight for Your Lady,5.6,118,1937
The Lone Defender,4.8,51,1930
Ridin' on a Rainbow,6.1,81,1941
"Win, Place or Steal",4.2,33,1974
The County Chairman,6.3,14,1935
Thunder Over Mexico,6.8,95,1933
All Roads Lead,7.8,12,2013
Spring Is Here,7.2,231,1930
Close Quarters,6.9,26,2012
Lady Tubbs,6.6,16,1935
Zombie Dream,3.4,24,2015
Edge City,5.6,113,1998
Forests of Mystery,4.4,25,2009
Be Good,5.9,20,2012
The Quiet Arrangement,6.3,30,2009
Young as You Feel,7.9,10,1940
Party Time Party Time,6.7,31,2013
Straight Place and Show,5.9,86,1938
On the Air Live with Captain Midnight,7.1,36,1979
Remember Pearl Harbor,6.0,40,1942
Quench,3.8,241,2007
McKenna of the Mounted,7.5,11,1932
Zombie Abomination: The Italian Zombie Movie - Part 1,5.3,49,2010
Within Madness,4.0,28,2015
"Sincerely, Me",6.2,17,2016
S.E.R.P.,2.7,39,2013
Men in Love,4.0,43,1990
Bluebeard's 8th Wife,7.9,7,1923
One Heavenly Night,5.8,99,1931
The Spots on My Leopard,4.6,8,1974
Scattergood Survives a Murder,6.8,20,1942
I.B.S.,5.4,31,2013
Prayer Life,5.7,45,2008
The Whistler,5.7,72,2006
County Fair,5.7,12,1950
Nymphs (Anonymous),5.0,72,1968
Achilles' Love,4.9,51,2000
We're Glad You're Here,7.2,5,2010
Scatterbrain,6.7,23,1940
Rollin' Plains,5.0,89,1938
Captured in Chinatown,5.6,46,1935
Anthony's Desire,4.1,79,1993
Over My Dead Body,7.2,18,1942
Zombie Hunters,3.9,15,2007
River of Stone,4.6,5,1994
Lady Belladonna's Tales From The Inferno,8.1,8,2018
Meet the Stewarts,6.2,211,1942
The Bet,7.1,30,2013
A Moment of Youth,1.0,327,2011
Pan-Americana,5.3,58,1945
The Public Defender,6.5,130,1931
The Gay Diplomat,5.0,104,1931
Crime Fiction,5.1,126,2007
Falling...,6.9,17,2012
The Warrens of Virginia,5.8,11,1915
Four Feathers,7.2,24,1915
Redneck Roots,7.7,20,2011
Tiburon,8.3,27,2013
"Jim Hanvey, Detective",6.5,90,1937
Shadow of the Law,6.6,55,1930
Indiscretion,8.7,10,2006
Russian Holiday,1.7,148,1992
Listening to Rain,6.6,5,2012
Flesh Suitcase,6.5,51,1995
The Vegas Connection,4.0,10,1999
Tiny Little Lies,4.8,39,2008
Barbed Wire,6.1,74,1952
Modern Love,7.1,15,1929
Sound Off,5.5,57,1952
Joe and Ethel Turp Call on the President,6.7,21,1939
The Border Legion,6.8,69,1940
The Temple of Venus,6.4,10,1923
The Skin Horse,6.8,26,2003
Heart of the North,5.5,104,1938
Nighttime in Nevada,6.9,88,1948
Infinite Santa 8000,5.4,31,2013
The Sanguinarian,7.6,26,2008
God of Vampires,4.0,105,2010
Lure of the Swamp,5.4,39,1957
Stepping Out,6.0,47,1931
My Deep Hunger,5.0,5,1973
Wrecking Crew,6.3,53,1942
Just a Measure of Faith,4.0,6,2014
Two Alone,6.5,100,1934
Nerd Boy,4.9,22,2008
I'll Bury You Tomorrow,5.6,254,2002
Injun,5.6,21,2013
The Wednesday Morning Breakfast Club,6.8,49,2013
Swiss Tour,6.2,25,1950
The Hitman,7.2,70,2008
Spy in the Sky!,4.5,27,1958
Treason,7.5,22,1933
Atlantic Ferry,6.4,89,1941
Lucky Cisco Kid,6.1,64,1940
Gorno: An American Tragedy,3.9,51,2004
Godass,5.6,48,2000
The Mugger,5.9,96,1958
Strange Triangle,6.6,77,1946
"Karl Rove, I Love You",6.7,68,2007
There,4.4,11,2015
The Seducers,5.1,7,1962
Survival of the Illest,5.0,46,2004
The Second Coming,3.3,87,1995
Renegades of Sonora,7.2,25,1948
In the Land of Fireworks,7.4,10,2010
A Killer Serve,7.5,13,2015
Delicato,5.0,20,1970
Naked Spaces: Living Is Round,7.9,17,1985
Where Sinners Meet,5.9,121,1934
Ava & Lala,6.9,33,2014
2076 Olympiad,6.5,8,1977
St. Louis Woman,5.8,26,1934
The Vanisher,5.6,5,2012
Screw Cupid,3.4,110,2008
Gunfire at Indian Gap,5.3,32,1957
Danny Johnson Saves the World,6.1,28,2015
Valedictorian,7.3,17,2015
The Assassin,5.9,22,2007
Misfit Patrol,5.8,26,1996
The Notorious Mr. Monks,6.3,6,1958
Janked,7.2,13,2011
General Chaos: Uncensored Animation,6.2,81,1998
Song of the Range,5.9,9,1944
We'll Let You Know,8.8,8,2015
"Please, Don't Bury Me Alive!",6.3,15,1976
Scriptfellas,6.8,72,1999
Karma Police,4.2,153,2008
Sing Your Worries Away,6.0,139,1942
The Night Shift,5.2,57,2011
East Is West,7.2,8,1922
The Devil's Dominoes,5.0,130,2008
In the Bishop's Carriage,5.8,9,1913
Career,7.2,13,1939
Big Calibre,5.3,29,1935
Whisper Me a Lullaby,5.5,10,2011
Shop Club,5.9,27,2002
Subdued,8.5,12,2014
Big Hearted Herbert,6.3,142,1934
Walking Back,6.9,36,1928
Other Madnesses,6.7,24,2015
Windstorm,5.2,25,2007
Frankenstein vs. the Creature from Blood Cove,4.6,133,2005
The Screening,6.5,32,2007
Across the Pacific,6.5,13,1926
Babes on Swing Street,6.8,21,1944
Prison Shadows,4.7,108,1936
Bad vs Worse,5.2,84,2012
Dying to Kill,3.6,20,2016
Below Dreams,6.2,17,2014
Mississippi Gambler,7.4,19,1942
Chimmie Fadden Out West,4.1,9,1915
Those We Love,6.3,57,1932
Accidents Will Happen,5.7,149,1938
Legend of Horror,3.8,25,1972
Grand Ole Opry,7.7,25,1940
Within the Law,7.3,78,1923
Gas House Kids,6.7,7,1946
Sex Farce,6.5,6,2006
Drinking Games,6.1,125,1998
Into the Arms of Strangers,5.6,128,2007
Alias Jimmy Valentine,6.2,189,1915
The Importance of Being Earnest,7.7,10,1992
Starlight & Superfish,7.5,48,2010
Roper and Goodie,6.7,78,2003
Dirtymouth,5.2,10,1970
West to Glory,6.1,54,1947
The Blue Rose,7.0,59,2007
Critical Nexus,3.5,123,2013
Song of My Heart,5.0,7,1948
Mexican Spitfire Sees a Ghost,5.9,154,1942
The Utah Murder Project,7.3,23,2006
Sinner Take All,6.1,88,1936
Sheriff of Las Vegas,7.8,21,1944
Boardwalk Poets,5.6,35,2005
Harvest of Redemption,7.8,32,2007
Slug Street Scrappers: Rise of Ryuken,7.8,67,2012
Three of a Kind,6.3,23,1944
Flames,5.2,28,1932
Soft Toilet Seats,5.2,62,1999
Love Made Easy,6.4,88,2006
The Sad Horse,5.6,8,1959
Blonde on a Bum Trip,7.9,25,1968
Numb,5.5,64,2003
National Parks Exploration Series: Yellowstone,7.9,7,2011
A Great Ride,6.4,19,1979
Evil Within,7.0,5,2015
The Girl in the Kremlin,5.9,66,1957
Arizona Territory,5.6,19,1950
Casablan,7.5,17,1964
Thunder Over Arizona,4.8,101,1956
Underdogs,8.5,15,2006
The Moretti House,3.0,24,2008
Six Lessons from Madame La Zonga,5.9,20,1941
The Sixth Year,4.3,7,2013
Almighty Fred,5.8,13,1996
One Night at Susie's,6.2,105,1930
Life Begins at 17,6.4,57,1958
Terror Overload,4.7,75,2009
17 Seconds,6.6,28,2013
Body in a Dumpster,7.3,14,2008
Christmas with Cookie,4.9,38,2016
Castle Ghosts of England,7.7,29,1995
The Rainmakers,6.0,104,1935
