title,rating,num_votes,year
The Guernsey Literary and Potato Peel Pie Society,7.4,18613,2018
Hostiles,7.2,47307,2017
The Girl with the Dragon Tattoo,7.8,381043,2011
Blindspotting,7.4,12036,2018
"Love, Simon",7.7,72945,2018
Indiana Jones and the Last Crusade,8.2,619136,1989
The Happytime Murders,5.3,13575,2018
Good Will Hunting,8.3,747784,1997
The Post,7.2,100405,2017
Nightcrawler,7.9,391858,2014
Whiplash,8.5,592534,2014
American Beauty,8.4,971589,1999
Batman Begins,8.3,1166869,2005
We're the Millers,7.0,365315,2013
The Breakfast Club,7.9,311562,1985
Tombstone,7.8,112338,1993
Indiana Jones and the Temple of Doom,7.6,395255,1984
Clash of the Titans,5.8,252583,2010
Central Intelligence,6.3,132380,2016
Fifty Shades Freed,4.5,40040,2018
The Karate Kid,7.2,154620,1984
The Martian,8.0,656680,2015
Thor,7.0,654196,2011
The Legend of Tarzan,6.3,146008,2016
Untogether,6.9,299,2018
The Lord of the Rings: The Two Towers,8.7,1316118,2002
Her,8.0,452654,2013
Dismissed,5.8,4547,2017
Vox Lux,6.4,2393,2018
Star Trek Beyond,7.1,204862,2016
Assassination Nation,5.9,6026,2018
Phantom Thread,7.5,79440,2017
True Romance,7.9,185403,1993
Pacific Rim: Uprising,5.6,82169,2018
Hugo,7.5,280505,2011
Silver Linings Playbook,7.7,611586,2012
Alien: Covenant,6.4,217968,2017
Look Away,6.3,5937,2018
The Green Mile,8.5,983149,1999
A-X-L,5.1,4609,2018
The Expendables 3,6.1,153033,2014
The Godfather: Part II,9.0,971755,1974
The Girl Next Door,6.7,188239,2004
Requiem for a Dream,8.3,685705,2000
Thor: The Dark World,7.0,516466,2013
Warrior,8.2,397027,2011
Miss Peregrine's Home for Peculiar Children,6.7,136558,2016
The Usual Suspects,8.6,886402,1995
Signs,6.7,309627,2002
The Magnificent Seven,6.9,163340,2016
Cellular,6.5,86586,2004
Star Trek,8.0,551597,2009
Halloween,7.8,200620,1978
Edge of Tomorrow,7.9,533816,2014
Shutter Island,8.1,978885,2010
Darkest Hour,7.4,127203,2017
300,7.7,681498,2006
How to Train Your Dragon 2,7.8,264818,2014
Black Hawk Down,7.7,333591,2001
Heat,8.2,513740,1995
Taxi Driver,8.3,620738,1976
Don't Breathe,7.1,178987,2016
The Incredible Hulk,6.8,386045,2008
American History X,8.5,930831,1998
A Star Is Born,6.4,7779,1976
The Hobbit: The Battle of the Five Armies,7.4,429545,2014
X-Men: Days of Future Past,8.0,605343,2014
The Help,8.1,384526,2011
My Cousin Vinny,7.6,94756,1992
Eternal Sunshine of the Spotless Mind,8.3,805991,2004
Finding Nemo,8.1,847241,2003
Spider-Man 3,6.2,450184,2007
The Perks of Being a Wallflower,8.0,415567,2012
The Outsiders,7.2,66597,1983
The Little Mermaid,4.2,4967,2018
The Great Gatsby,7.3,423922,2013
Children of Men,7.9,421723,2006
One Flew Over the Cuckoo's Nest,8.7,811696,1975
Mission: Impossible - Rogue Nation,7.4,303415,2015
Dune,6.6,109157,1984
The Disaster Artist,7.4,104643,2017
Trolls,6.5,61331,2016
American Sniper,7.3,392771,2014
The Possession of Hannah Grace,5.0,3712,2018
Gerald's Game,6.6,59807,2017
Alien,8.5,696053,1979
Conan the Barbarian,5.2,89746,2011
Star Wars: Episode VII - The Force Awakens,8.0,768532,2015
Transformers,7.1,563005,2007
Brokeback Mountain,7.7,294364,2005
The Last Airbender,4.1,135397,2010
Ant-Man,7.3,469738,2015
Pitch Perfect 3,5.8,41515,2017
The Little Hours,5.8,13788,2017
The Darkest Minds,5.6,17495,2018
The Fate of the Furious,6.7,173110,2017
Fargo,8.1,550039,1996
Ender's Game,6.6,208391,2013
At Eternity's Gate,7.1,2258,2018
The Sandlot,7.8,69468,1993
Lady in the Water,5.6,88743,2006
Hotel Transylvania 3: Summer Vacation,6.3,34420,2018
Zodiac,7.7,379942,2007
Easy A,7.1,323447,2010
Captain America: The Winter Soldier,7.8,633618,2014
Iron Man 2,7.0,630339,2010
Atomic Blonde,6.7,142788,2017
Eyes Wide Shut,7.4,267174,1999
The Titan,4.8,22207,2018
Animal House,7.6,103411,1978
Cam,6.0,13621,2018
True Grit,7.6,278497,2010
The Social Network,7.7,559173,2010
Valerian and the City of a Thousand Planets,6.5,133492,2017
12 Angry Men,8.9,575515,1957
X: First Class,7.7,596283,2011
Operation Finale,6.5,16919,2018
Snatch,8.3,704857,2000
Extinction,5.8,33753,2018
Black Swan,8.0,635966,2010
Sex and the City 2,4.4,67858,2010
Disobedience,6.6,15593,2017
Fury,7.6,372845,2014
Little Italy,5.7,4008,2018
The Girl on the Train,6.5,145391,2016
Terminator 2: Judgment Day,8.5,886055,1991
Hidden Figures,7.8,163562,2016
American Pie,7.0,347063,1999
2001: A Space Odyssey,8.3,528317,1968
Monsters and Men,5.3,839,2018
The Blind Side,7.7,261529,2009
Iron Man Three,7.2,665414,2013
Rocky IV,6.8,163788,1985
The Standoff at Sparrow Creek,6.3,351,2018
I Am Legend,7.2,621913,2007
Full Metal Jacket,8.3,594329,1987
Top Gun,6.9,256536,1986
The Super,5.9,6299,2017
The Conjuring,7.5,384898,2013
The Pianist,8.5,623266,2002
American Gangster,7.8,360936,2007
Ocean's Eleven,7.8,466346,2001
King Arthur: Legend of the Sword,6.8,161822,2017
Predator,7.8,339334,1987
Romeo + Juliet,6.8,191826,1996
The Incredibles,8.0,583867,2004
"Juliet, Naked",6.6,8378,2018
Office Space,7.8,223271,1999
The Theory of Everything,7.7,349862,2014
Zootopia,8.0,368433,2016
